tiktok_id,included,n_ppl,gender,gender_2,lang,country,support_vaccine,hcp,verified_hcp,genre,satire_who,correct,satire_comment,why_incorrect,myth_referenced,caption_helpful,infectious_disease_review,general_comments,satire_y_n,commentary_y_n,story_y_n,skit_y_n,silent_y_n,author,url,likes,shares,comments,author_followers,plays,description
37,Yes,Single,Female,NA,spanish,Unclear,Yes,No,Non Applicable,"Commentary, Story Telling",NA,Yes,shows the mechanism of a syringe and hypodermic needle,NA,COVID-19 vaccine inserts you with a microchip,"in the comments someone asks if she had any side effects. Creator: nothing that was worse than a cold, definitly not as bad as the flu shot either!! totally do it",No,"one of the few tik toks ive seen that actually tries to combat misinformation, however it is in spanish so we would need a spanish speaker to verify what the creator is saying",N,N,N,N,N,projectthemepark,https://www.tiktok.com/@projectthemepark/video/6952300027263896838,392300,21600,6891,99100,2100000,"Yeah, I won't be coming back#sixflagsmagicmountain #covidvaccine #ghetto #themeparks"
38,No,Single,Male,NA,English,USA,Yes,Yes,"Tiktok, Twitter, Insta","Commentary, Story Telling",NA,Yes,just documenting the process of getting the vaccine,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,NA,N,N,N,N,N,protrombina,https://www.tiktok.com/@protrombina/video/6916189521029680390,378100,37200,6187,13300,3500000,"it’s not magic, there’s NO chip! It’s called #science and #technology safety syringe to administer #covidvaccine @drkkwate @medhacker"
39,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Satire, Story telling",Antivaxers,Yes,"no claims are made about the side effects other than the satirical ""being a boss ass bitch""",NA,"We don't know long term side effects, COVID Vaccine will cause anyone serious short term side effects","The caption is ""i am free marketing for the vaccine I stg"" which is implies that this is a supportive video; but for the reasons of getting larger breasts",No,NA,Y,N,N,N,N,seethemedlife,https://www.tiktok.com/@seethemedlife/video/6907791224778870021,369900,2823,5659,1700000,1400000,you want to see someone get the Vax before you? Here you go! #covid19 #doctor #covidvaccine
40,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,"if you  show a valid vaccination card, you can get a  krispy kreme donut everyday for this year  ; You can go get krispy creme donuts for free https://www.krispykreme.com/promos/vaccineoffer",NA,No myth,NA,No,NA,N,N,N,N,N,kawaiichael,https://www.tiktok.com/@kawaiichael/video/6923707774161456390,369300,9224,1620,2556,3000000,Please be careful 😩😭💔 #covid #covidvaccine #qanon #MLM #antivax #vaccine #gay #lesbian #rip @eniamoya
41,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Skit, Story Telling",NA,N/A,"this is more so bringing awareness that young people want to get the vaccine, but there is no actual information about the vaccine, this is purely a commentary on wearing a dress to your vaccine appt.",NA,No myth,NA,No,https://www.instagram.com/z_wagner/; https://npiprofile.com/npi/1184282188,N,N,N,N,N,hollyauna,https://www.tiktok.com/@hollyauna/video/6943378857269431557,369100,10500,4016,680700,1300000,Who wants a FREE @krispykreme donut!?!? #krispykreme #donut #covidvaccine #covid19vaccine #vaccine
42,Yes,Animation,"NA",NA,English,Unclear,Yes,No,Non applicable,"cartoon, Silent video with visuals, Animation",NA,Yes,shows a basic and simplified depiction of antibody generation in a cartoon format for the lay audience,NA,No myth,NA,No,NA,N,N,N,N,N,larette.mnl,https://www.tiktok.com/@larette.mnl/video/6946181151799151873,341800,685,448,158800,2400000,How I imagined my vaccination would go down #covidvaccine #lattefam #lattefire #fy #fyp #foryou #covid
43,Yes,Visuals,"NA",NA,English,USA,Yes,No,Non applicable,"Satire, song parody",Antivaxers,Yes,"person is encouraging people to get vaccinated, no actual information though is discussed, just parodying those who dont want to get vaccinated",NA,No myth,So this is in Spanish but apparently it's about roleplaying a doctor about to give the COVID vaccine and to be calm and relaxed,No,I have no idea what the purpose of this video is,Y,N,N,N,N,f90.daniel,https://www.tiktok.com/@f90.daniel/video/6976497506515488002,334700,29200,2569,22100,5500000,How vaccine works in 30sec? #covid19 #tiktokguru #nutrition #fyp #covidvaccine #CucukMYAZ
44,Yes,Double,Male,female,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,just depicting the process of vaccination,NA,No myth,NA,No,NA,N,N,N,N,N,htothemay,https://www.tiktok.com/@htothemay/video/6959369238041611525,325000,6281,4934,427,1100000,#fyp #covidvaccine #getvaccinated #antivaxxersbelike #antimaskkaren #antivaxxersshutup #antivaxxersareidiotic #herdimmunity
45,Yes,Single,Male,NA,English,Unclear,Yes,No,pHD Scientist,"Commentary, Story Telling",NA,Yes,describing what the regulatory process is for pfizer vaccine manufacturing and testing is ; Nov 8 interim pfzier stage 3 trial ;https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-announce-vaccine-candidate-against,NA,No myth,NA,No,Exclude because it's not about vaccine use,N,N,N,N,N,3thanrich,https://www.tiktok.com/@3thanrich/video/6948492297340423429,315400,1230,1275,15500,1100000,this woman made my year #covidvaccine #crushcovid
46,Yes,Double,Male,male,English,USA,Yes,No,Non applicable,"Story Telling, Satire, comedic remarks while getting vaccinated",NA,Yes,"comedic remarks while getting vaccinated, obviously vaccine doesnt protect against STIs or pregnancy but still pro covid vaccine",NA,No myth,NA,No,NA,Y,N,N,N,N,dr.noc,https://www.tiktok.com/@dr.noc/video/6893124117331987718,304300,29200,5556,610200,2400000,Stay tuned for more updates! #covid19 #coronavirus #covidvaccine #learnontiktok #nursing #medicine #health
47,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling",NA,Yes,person is showing that she was able to overcome her own discomfort with her tourettes syndrome to receive the vaccine,NA,No myth,NA,No,This tiktok's video itself doesn't actually refer to the vaccine at all - just the description; I don't think it's sufficiently related to the vaccine,N,N,N,N,N,kyleprue,https://www.tiktok.com/@kyleprue/video/6948538116412132613,301000,12500,978,259800,1600000,Wait so what’s it for then??? #vaccine #corona #covid19 #covidvaccine #fyp #foryoupage
48,Yes,Single,Female,NA,English,USA,No,No,Non applicable,Skit,NA,No,person is saying that nobody needs to wear masks especially if youre unvaccinated. they further claim that should someone choose to get vaccinated they shouldnt worry about those who are unvaccinated and maskless.,"Misinformation, Purposely misleading",No myth,NA,No,"at the very end he says ""go get vaccinated and get your donuts"" which is why I think that this could be included even though the majority of the tiktok isn't abotu vaccine use",N,N,N,N,N,thistrippyhippie,https://www.tiktok.com/@thistrippyhippie/video/6978553838252854533,280300,277,1401,13300000,1500000,proud of myself🥰wasn’t easy and all the tics in my body felt so uncomfortable😣#tourettes #covidvaccine #foryou #tourettesawareness #foryoupage
49,Yes,Double,Female,female,English,Unclear,Yes,No,Non applicable,Story Telling,NA,N/A,this is just a recording of a vaccination appointment,NA,No myth,NA,No,"hard to say what this tik tok is, it seems its pro vaccine but it highlights the poor behaviour of the vaccinator which might discourage others from getting the vaccine.",N,N,N,N,N,veroventuring,https://www.tiktok.com/@veroventuring/video/6965518084366945542,278500,11100,6422,197400,2200000,Team no vaccine and think for yourself! #nomask #novaccine #vaccine #covid #coronavirus #covidvaccine
50,Yes,Single,Male,NA,English,USA,Yes,No,Non applicable,"Commentary, Story Telling",Antivaxers,Yes,"creator is trying to show how coins are not magnetic hence it is a fallacy to say that coins get stuck to your arm following the vaccine, essentially refuting the myth that the vaccine contains magnetic metals/microchips; I think so based on this: https://chemistry.stackexchange.com/questions/130963/why-isnt-the-american-nickel-magnetic; american coins aren't magenetic 


cdc fact sheet confirming no metals in vaccines:https://www.cdc.gov/coronavirus/2019-ncov/vaccines/faq.html?s_cid=10492:pfizer%20covid%20vaccine%20ingredients:sem.ga:p:RG:GM:gen:PTN:FY21",NA,"COVID-19 vaccine inserts you with a microchip, covid vaccine contains metals",NA,No,NA,N,N,N,N,N,jackieruggiero,https://www.tiktok.com/@jackieruggiero/video/6964404666314575109,274600,1562,6751,16700,1500000,lmk if u wanna see the rest of the video #vaccine #covidvaccine
51,No,Multiple,"NA",males,Unknown,Unclear,No,No,Non applicable,Unclear,NA,N/A,NA,NA,No myth,NA,No,this tik tok is in a different language,N,N,N,N,N,tayislively,https://www.tiktok.com/@tayislively/video/6964504073643117830,266000,1509,4715,131300,3100000,My dad really wanted me to show you guys this. #covid #covidvaccine #magneticvaccine #debunkingtheories #vaccine #covid19
52,Yes,Double,Female,male,English,Unclear,Yes,No,Non applicable,"Story Telling, Skit, comedy",NA,N/A,"this is just a humorous representation of the variable side effects of the vaccine, some people get tired others dont.",NA,No myth,NA,No,this tik tok is still pro vaccine and plays on the stereotype that women can still work even with the tiring side effects of the vaccine as opposed to men,N,N,N,N,N,naruto.ch,https://www.tiktok.com/@naruto.ch/video/6902971172040805634,262900,5785,2275,204600,1900000,Expired na daw ang Covid??? #tiktok #covidvaccine #foryoupage #fyp #fypシ #tiktokph
53,Yes,Single,Male,NA,English,USA,Yes,Yes,Google Search,"Commentary, Story Telling, Saitre",NA,N/A,"doctor is describing his own experience with getting the vaccine, dr pretends to choke after the vaccine I think as a joke",NA,No myth,NA,No,I think the point is to encourage people to go get by showing him getting it,N,N,N,N,N,priscillavaneeth,https://www.tiktok.com/@priscillavaneeth/video/6938587837747006726,261700,31100,1829,79100,1800000,The thermometer got me! #dramaticmoments #bestactor #covidvaccine #husbandsbelike @vaneethnandmusic
54,Yes,Single,Female,NA,English,Unclear,No,No,Non applicable,"Story Telling, Skit, cant tell if skit",NA,Unclear,"person is unsure about whether the vaccine makes your breasts bigger, comments show that people are equally confused and there is no consensus reached in the comment section.",NA,No myth,NA,No,NA,N,N,N,Y,N,dallas_niptuck,https://www.tiktok.com/@dallas_niptuck/video/6907359691316251910,257100,1870,7779,155900,1600000,I’M TAKING THE VACCINE! Wish me luck haha. #covidvaccine #covid19 #covid19vaccine #covidvaccinesideeffects #fyp #covidvaccinebelike
55,No,Single,Visual,NA,English,Unclear,No,No,Non applicable,"Satire, Skit",NA,N/A,this just seems like pure satire with no greater agenda. a humorous response of a mosquito drinking blood of a vaccinated person complaining that the blood is too spicy,NA,No myth,NA,No,Just proud to say they're double vaccinated,Y,N,N,N,N,neversauced,https://www.tiktok.com/@neversauced/video/6967363261310192901,252600,5373,5528,199000,2100000,No but like why did it actually #covidvaccine #vaccine #covid #jandj #xyzbca
56,Yes,Single,Female,NA,English,USA,Yes,Yes,Verified on TikTok,"Satire, calling people out for their lack of knowledge on mechanism of action of mrna vaccines",Antivaxers,Yes,person is saying that general lay public is demonizing the mrna vaccine without actually knowing the science behind the mechanism.,NA,COVID-19 vaccine will alter my DNA,NA,No,NA,Y,N,N,N,N,paulpc21,https://www.tiktok.com/@paulpc21/video/6968913438944824582,251600,23800,1230,4710,2300000,#mosquitoes #covid #covidvaccine #pfizer #paulpc21 #summer #foryourpage #fyp #waitforit #watchuntilend #meme #trending #trend #vaccine #blowthisup
57,No,Double,Male,male,English,USA,No,No,Non applicable,"Skit, Stitch (reply to another video)",NA,N/A,this tik tok is not about vaccine but about Joe Biden's pronounciation of a date,NA,No myth,NA,No,It's funny because he's gay,N,N,N,N,N,christinaaaaaaanp,https://www.tiktok.com/@christinaaaaaaanp/video/6932254578024910085,250800,11900,3237,262100,1300000,#mrnavaccine #covidvaccine #covid19
58,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,Skit,NA,N/A,"not really a focus on vaccines just a humorous play on words, no real agenda there",NA,No myth,NA,No,NA,N,N,N,N,N,speedymcgogo,https://www.tiktok.com/@speedymcgogo/video/6941029396362906886,250600,26200,2593,14100,1500000,#stitch with @yahoonews I am Joe Biden?? #democrats #joebiden #covidvaccine #comedy
59,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,"Dance, Story Telling,Silent video with visuals, Trend",NA,Yes,person is stating how her BMI surprisingly classified her as obese which allowed her earlier access to the vaccine.,NA,No myth,NA,No,NA,N,N,N,N,N,yvngbrodieee,https://www.tiktok.com/@yvngbrodieee/video/6949049999091043590,248500,6534,3647,3633,1300000,👬  #covid19 #covidvaccine
60,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,Story Telling,NA,Yes,person is recording her own vaccination process without commentary,NA,No myth,NA,No,"this is just a play on words of moderna, no actual mention of the vaccine other than the word moderna. creator has stated in the caption that this skit is a joke",N,N,N,N,N,jahrule_,https://www.tiktok.com/@jahrule_/video/6934413663256284421,239900,18900,2586,1423,1700000,Obese in all the right places #fyp #covidvaccine #vaccinated 💉
61,Yes,Double,Female,male,English,USA,Yes,No,Non applicable,Story Telling,NA,Yes,person recording their journey of getting the vaccine and reporting her symptoms,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,NA,N,N,N,N,N,latinaxbabyy,https://www.tiktok.com/@latinaxbabyy/video/6951881848523869445,238900,8548,0,26300,3300000,Vaccinated 💪🏼 #fyp #covidvaccine #pfizer
62,Yes,Single,Male,female,English,Unclear,Yes,No,Non applicable,Story Telling,NA,Yes,person is recording their journey of getting the vaccine,NA,No myth,NA,No,"Tagged with #healthcareworker but she's not a nurse, in the comments she says ""I'm not a nurse. I'm the front door coordinator at my location"" ; i think she's neutral on vaccines in the way that she's tired of people thinking they're invincible for having the vaccine",N,N,N,N,N,taniamadrigal,https://www.tiktok.com/@taniamadrigal/video/6914477185378061573,476900,15700,22300,12500,3200000,Covid vaccine #covidvaccine#3rdday#symptoms#healthcareworkers
63,Yes,Visuals,Male,NA,English,USA,No,Yes,TikTok Deleted,"Story Telling, Silent video with visuals",NA,Yes,shows number of covid cases following vaccine EUA in the US.,NA,No myth,NA,No,NA,N,N,N,N,N,justlydeserved,https://www.tiktok.com/@justlydeserved/video/6912929016932568325,236800,8586,6127,197600,1600000,#vaccine #Welcome2021 #bye2020 #covidvaccine #vaccinecoronavirus @dr.eric.b
64,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Story Telling, Skit",NA,Yes,person is humourously impersonating her mom but she does mention that the mask guidance from the CDC says that you can remove your mask if you are fully vaccinated. person is also encouraging mask wearing,NA,No myth,NA,No,comparing mybodymychoice in the situation of covid vs abortion; point is to get a vaccine because vaccines effect everyone,N,N,N,N,N,internalmeddoctor,https://www.tiktok.com/@internalmeddoctor/video/6974226574598081798,227200,3480,10200,NULL,2000000,Sheesh. That #covidvaccine #28XTREMES #covid19 #fyp #foryou #doctor #vaccine #antivax #pfizer #moderna
65,Yes,Single,Male,NA,English,Unclear,Yes,No,Non applicable,Skit,NA,N/A,this is just the creator poking fun at himself for being obese while getting the vaccine.,NA,No myth,NA,No,this is more so of a deconstruction of the argument of pro-life (my body my choice) and vaccines. creator is supporting vaccine use but not sure if this is relevant to the study,N,N,N,N,N,kendahllandreth,https://www.tiktok.com/@kendahllandreth/video/6961988129716784389,225900,17300,2103,612600,821400,A reenactment of my mom - Darla is vaccinated! #character #comedy #MAKEYOURMOVE #vaccine #covidvaccine
66,No,Multiple,Male,male,Unknown,Unclear,No,No,Non applicable,"Story Telling, Silent video with visuals",NA,No,NA,NA,No myth,NA,No,this is a video that used the covid vaccine hashtag to get more views but has absolutely no relevance to the vaccine. it depicts a trailer being hooked up to a tractor,N,N,N,N,N,evyn.collins,https://www.tiktok.com/@evyn.collins/video/6946657217051479302,225400,21400,2104,64900,1200000,#covid #covid19 #covidvaccine #fyp #foryou #foryoupage
67,Yes,Single,Female,NA,English,Unclear,Yes,Yes,"Dula, not verified","Commentary, Story Telling",NA,Yes,"https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid19-vaccine-can-it-affect-your-mammogram-results idk if getting a mammogram is recommended; seems excessive ; https://globalnews.ca/news/7760341/covid-vaccine-side-effect-breast-cancer-scare/;“If there’s a history of the vaccination within six weeks of the mammogram or the swelling of the armpit, what we are recommending is that we have women be examined by their doctors to make sure that that swelling goes away within six weeks,” Seely, who is also the president of the Canadian Society of Breast Imaging, said.

",NA,No myth,NA,No,NA,N,N,N,N,N,tunahan_yilmaz.14,https://www.tiktok.com/@tunahan_yilmaz.14/video/6946949936357330178,222800,3968,493,27700,14000000,yapıyoruz bu sporu #mf #tiktok #massey #fordconnect #erkunt #covidvaccine #cina #kiki #fordeal #fordranger #fordmustang #fyp #evde #kal
68,Yes,Single,Female,NA,English,Unclear,Yes,No,Non applicable,Satire,Antivaxers,Yes,person was reading off ingredient list of other processed foods and ridiculing those who dont understand the ingredients of a covid vaccine.,NA,Vaccine have bad ingredients in them,NA,No,"although the creator mentions that he will receive superpowers following the vaccine, it seems that he is pro vaccine and is encouraging people to get it with a positive joke",Y,N,N,N,N,theneighborlywombwitch,https://www.tiktok.com/@theneighborlywombwitch/video/6944466254023511301,221700,18800,5630,42500,1200000,#covidvaccine #laboranddeliverynurse #midwifewayoflife #themoreyouknowtok #birthworker #birthwork #doulasoftiktok #northcarolinahype
69,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Dance, Story Telling",NA,N/A,not really anything about the vaccine other than that they got the second dose and wanted to move their arm after. not really misinformation nor is it in any way propagating any other ideologies; i mean i don't know how much evidence matters taht swinging your arm around would help your arm feel better after the vaccine; seems irrelevant,NA,No myth,NA,No,"Basically, saying the CDC is fed up with people arguing about the masks; it's the last part where she goes ""you don't wanna be saved, I'm not saving you"" so it's assumed she does support vaccines as useful",N,N,N,N,N,ainsleyacuff,https://www.tiktok.com/@ainsleyacuff/video/6906629426709073157,220600,5436,4188,5234,1500000,Would you get the covid vaccine? #covid19 #covid #covidvaccine #fyp
70,No,Single,Male,NA,English,Unclear,Yes,No,Non applicable,"Commentary, Story Telling, Comedy",NA,N/A,"this is just the creator showing her dad's humorous way of reacting to  her coming back home with covid. she does mention however ""dont worry hes vaccinated"" so it is still a pro-vaccine tik tok but with no actual information about the vaccines.",NA,No myth,NA,No,person is more so commenting on mixed messaging from CDC not actual vaccine usage,N,N,N,N,N,kellychauca,https://www.tiktok.com/@kellychauca/video/6955599544872635654,218800,3929,1439,11600,1200000,2nd dose check #covid19#coronavirus#pfizer#covidvaccine l#blackpink#kpop#fyp#xyzbca#health#safety#happy#vaccine
71,no,Single,Male,NA,spanish,USA,Yes,No,Non applicable,"Commentary, Story Telling",NA,N/A,NA,NA,No myth,NA,No,not in english,N,N,N,N,N,em_kemm,https://www.tiktok.com/@em_kemm/video/6946380237584321797,211800,1361,978,8961,2500000,don’t worry he’s vaccinated #greenscreen #outpizzathehut #YasClean #fyp #foryoupage #help #covid19 #covidvaccine
72,Yes,Single,Female,NA,English,USA,Yes,No,Non applicable,"Commentary, Story Telling, Humor",NA,Yes,"person is more so commenting that she will still wear a mask after getting  vaccinated, not much else in terms of info",NA,No myth,NA,No,caption says  GET VACCINATED,N,N,N,N,N,oskyvlk,https://www.tiktok.com/@oskyvlk/video/6966643593175928070,211700,10400,1927,229100,1600000,Ig: OskyVLK #covid #covid19 #covidvaccine #covid19usa #miami
73,No,Single,Female,NA,French,france,Yes,No,Non applicable,Silent video with visuals,NA,N/A,this is in another language,NA,No myth,NA,No,NA,N,N,N,N,N,justkaylee1989,https://www.tiktok.com/@justkaylee1989/video/6912590873599479046,203200,8343,1500,67100,1100000,Can’t have any questions about that! #wearyourmask #covidvaccine #beagoodhuman #Bye2020 #
74,Yes,Single,Female,NA,English,Unclear,No,No,Non applicable,"Satire, Skit, cant tell if satire or skit",Unclear,N/A,there is no mention on her bio or comments that what she is doing is satire and that she actually was in the vaccine trial,NA,COVID Vaccine will cause anyone serious short term side effects,NA,No,So while this is merely pointing out states with lowest vaccine rates - I'd assume that since the circus song is playing the author is calling them clowns for having such low numbers which could indicate vaccine support,Y,N,N,Y,N,prunelilly,https://www.tiktok.com/@prunelilly/video/6929935277058297094,197200,6179,2903,103600,5100000,Vous aussi en manque de vacances ? #holliday #pourtoi #☀️ #poolside #covidvaccine
75,Yes,Double,Female,Female,English,USA,Yes,No,Non applicable,"Commentary, Stitch (reply to another video), Satire",NA,N/A,"not really a misinformation tik tok, more so responding to meghan mccains comment that vaccine cards dont fit in wallets.",NA,No myth,NA,No,this is not about vaccine use or efficacy- purely a demographic description of lowest vaccination rates in the states.no mention of whether the creator is pro or anti vaccine,Y,N,N,N,N,monilove1908,https://www.tiktok.com/@monilove1908/video/6906593586742152454,196100,18500,9225,6071,779900,Covid vaccine trial. #fyp #foryou #foryoupage #covidvaccinesideeffects #covidvaccine
